,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Console,Game Title,Price,Mean,Median
20,CONGO BONGO,2600,1982,Action,Sega,370000.0,20000.0,,,400000,2600,CONGO BONGO,36.93,False,True
21,COSMIC ARK,2600,1981,Shooter,Imagic,990000.0,50000.0,,10000.0,1050000,2600,COSMIC ARK,17.79,False,False
22,CRAZY CLIMBER,2600,1981,Action,Atari,210000.0,10000.0,,,220000,2600,CRAZY CLIMBER,360.84,True,True
23,CRYSTAL CASTLES,2600,1983,Action,Atari,720000.0,40000.0,,10000.0,770000,2600,CRYSTAL CASTLES,19.92,False,False
24,CUSTERS REVENGE,2600,1981,Action,Mystique,760000.0,50000.0,,10000.0,820000,2600,CUSTERS REVENGE,169.23,True,True
25,DARK CAVERN,2600,1981,Shooter,Mattel Interactive,220000.0,10000.0,,,240000,2600,DARK CAVERN,20.7,False,False
26,DEADLY DUCK,2600,1981,Shooter,20th Century Fox Video Games,210000.0,10000.0,,,220000,2600,DEADLY DUCK,51.5,False,True
27,DEATH TRAP,2600,1982,Action,Avalon Interactive,150000.0,10000.0,,,170000,2600,DEATH TRAP,100.14,True,True
28,DEFENDER II,2600,1987,Shooter,Atari,420000.0,20000.0,,,450000,2600,DEFENDER II,36.48,False,True
29,DEMON ATTACK,2600,1981,Shooter,Imagic,1990000.0,120000.0,,20000.0,2130000,2600,DEMON ATTACK,15.37,False,False
30,DESERT FALCON,2600,1987,Shooter,Atari,240000.0,10000.0,,,260000,2600,DESERT FALCON,13.05,False,False
31,DIG DUG,2600,1982,Puzzle,Atari,1520000.0,100000.0,,20000.0,1640000,2600,DIG DUG,18.81,False,False
32,DOLPHIN,2600,1983,Action,Activision,270000.0,20000.0,,,290000,2600,DOLPHIN,41.13,False,True
33,DOUBLE DRAGON,2600,1989,Action,Activision,450000.0,20000.0,,10000.0,470000,2600,DOUBLE DRAGON,107.11,True,True
34,DRAGONFIRE,2600,1981,Action,Imagic,350000.0,20000.0,,,370000,2600,DRAGONFIRE,34.95,False,True
35,ENDURO,2600,1982,Misc,Quelle,810000.0,50000.0,,10000.0,870000,2600,ENDURO,26.38,False,False
36,FANTASTIC VOYAGE,2600,1981,Action,20th Century Fox Video Games,320000.0,20000.0,,,340000,2600,FANTASTIC VOYAGE,26.73,False,False
37,FAST FOOD,2600,1981,Action,Unknown,270000.0,20000.0,,,290000,2600,FAST FOOD,43.16,False,True
38,FIREBALL,2600,1981,Action,Starpath Corp.,300000.0,20000.0,,,330000,2600,FIREBALL,25.7,False,False
39,FRANKENSTEINS MONSTER,2600,1982,Action,Data Age,300000.0,20000.0,,,320000,2600,FRANKENSTEINS MONSTER,77.87,False,True
40,FROGGER,2600,1981,Action,Parker Bros.,2060000.0,120000.0,,20000.0,2200000,2600,FROGGER,20.78,False,False
41,FROGGER II THREEEDEEP,2600,1983,Action,Parker Bros.,310000.0,20000.0,,,330000,2600,FROGGER II THREEEDEEP,158.36,True,True
42,FROGS AND FLIES,2600,1981,Action,Mattel Interactive,330000.0,20000.0,,,360000,2600,FROGS AND FLIES,12.83,False,False
43,FRONT LINE,2600,1981,Action,Taito,220000.0,10000.0,,,240000,2600,FRONT LINE,78.44,False,True
44,FROSTBITE,2600,1983,Action,Activision,320000.0,20000.0,,,340000,2600,FROSTBITE,57.69,False,True
45,GALAXIAN,2600,1982,Shooter,Atari,720000.0,50000.0,,10000.0,770000,2600,GALAXIAN,18.36,False,False
46,GAUNTLET,2600,1982,Action,Answer Software,460000.0,30000.0,,10000.0,500000,2600,GAUNTLET,0.0,False,False
47,GHOSTBUSTERS,2600,1985,Puzzle,Activision,420000.0,30000.0,,,450000,2600,GHOSTBUSTERS,44.04,False,True
48,GRAND PRIX,2600,1981,Racing,Activision,450000.0,30000.0,,,480000,2600,GRAND PRIX,17.0,False,False
49,GREMLINS,2600,1983,Action,Atari,430000.0,30000.0,,,460000,2600,GREMLINS,81.23,True,True
50,HALLOWEEN,2600,1982,Action,Wizard Video Games,580000.0,30000.0,,10000.0,620000,2600,HALLOWEEN,851.26,True,True
51,ICE HOCKEY,2600,1980,Sports,Activision,460000.0,30000.0,,10000.0,490000,2600,ICE HOCKEY,16.13,False,False
52,JAWBREAKER,2600,1981,Action,Tigervision,420000.0,30000.0,,,450000,2600,JAWBREAKER,85.71,True,True
53,JOUST,2600,1982,Platform,Atari,1010000.0,60000.0,,10000.0,1080000,2600,JOUST,27.6,False,False
54,JR PACMAN,2600,1983,Puzzle,Atari,720000.0,50000.0,,10000.0,780000,2600,JR PACMAN,17.93,False,False
55,JUNGLE HUNT,2600,1982,Platform,Atari,1030000.0,60000.0,,10000.0,1100000,2600,JUNGLE HUNT,14.36,False,False
56,KABOOM,2600,1980,Misc,Activision,1070000.0,70000.0,,10000.0,1150000,2600,KABOOM,21.3,False,False
57,KANGAROO,2600,1982,Platform,Atari,670000.0,40000.0,,10000.0,720000,2600,KANGAROO,13.66,False,False
58,KEYSTONE KAPERS,2600,1982,Action,Activision,620000.0,40000.0,,10000.0,660000,2600,KEYSTONE KAPERS,35.67,False,True
59,KING KONG,2600,1981,Action,Tigervision,650000.0,40000.0,,10000.0,690000,2600,KING KONG,116.67,True,True
60,KRULL,2600,1982,Action,Atari,130000.0,10000.0,,,140000,2600,KRULL,55.38,False,True
61,KUNGFU MASTER,2600,1987,Action,Activision,600000.0,40000.0,,10000.0,650000,2600,KUNGFU MASTER,43.2,False,True
62,LASER BLAST,2600,1981,Action,Activision,370000.0,20000.0,,,390000,2600,LASER BLAST,15.81,False,False
63,MARIO BROS,2600,1982,Platform,Atari,1480000.0,90000.0,,20000.0,1590000,2600,MARIO BROS,75.67,False,True
64,MEGAMANIA,2600,1981,Shooter,Activision,1030000.0,60000.0,,10000.0,1100000,2600,MEGAMANIA,24.2,False,False
65,MIDNIGHT MAGIC,2600,1983,Action,Atari,470000.0,30000.0,,10000.0,500000,2600,MIDNIGHT MAGIC,15.18,False,False
66,MILLIPEDE,2600,1983,Shooter,Atari,450000.0,30000.0,,10000.0,480000,2600,MILLIPEDE,19.06,False,False
67,MOON PATROL,2600,1982,Shooter,Atari,1050000.0,60000.0,,10000.0,1120000,2600,MOON PATROL,16.18,False,False
68,MOUNTAIN KING,2600,1982,Action,CBS Electronics,290000.0,20000.0,,,310000,2600,MOUNTAIN KING,21.56,False,False
69,MR DO,2600,1982,Action,Coleco,260000.0,20000.0,,,270000,2600,MR DO,70.86,False,True
70,MR DOS CASTLE,2600,1983,Action,Parker Bros.,150000.0,10000.0,,,170000,2600,MR DOS CASTLE,344.28,True,True
71,MS PACMAN,2600,1981,Puzzle,Atari,1540000.0,100000.0,,20000.0,1650000,2600,MS PACMAN,16.55,False,False
72,PENGO,2600,1983,Adventure,Atari,380000.0,20000.0,,,400000,2600,PENGO,177.95,True,True
73,PHOENIX,2600,1981,Simulation,Atari,420000.0,20000.0,,,450000,2600,PHOENIX,15.99,False,False
74,PITFALL II LOST CAVERNS,2600,1983,Platform,Activision,1220000.0,70000.0,,20000.0,1310000,2600,PITFALL II LOST CAVERNS,87.82,True,True
75,PITFALL,2600,1981,Platform,Activision,4210000.0,240000.0,,50000.0,4500000,2600,PITFALL,25.7,False,False
76,POLARIS,2600,1982,Action,Tigervision,260000.0,20000.0,,,280000,2600,POLARIS,142.58,True,True
77,POLE POSITION,2600,1982,Racing,Atari,1100000.0,70000.0,,10000.0,1180000,2600,POLE POSITION,11.73,False,False
78,POPEYE,2600,1982,Platform,Parker Bros.,500000.0,30000.0,,10000.0,540000,2600,POPEYE,24.52,False,False
79,PORKYS,2600,1982,Action,20th Century Fox Video Games,230000.0,10000.0,,,250000,2600,PORKYS,56.18,False,True
80,PRESSURE COOKER,2600,1982,Action,Activision,140000.0,10000.0,,,150000,2600,PRESSURE COOKER,86.28,True,True
81,QBERT,2600,1982,Puzzle,Parker Bros.,550000.0,30000.0,,10000.0,580000,2600,QBERT,27.26,False,False
82,RAIDERS OF THE LOST ARK,2600,1981,Action,Atari,460000.0,30000.0,,10000.0,500000,2600,RAIDERS OF THE LOST ARK,20.73,False,False
83,RAMPAGE,2600,1988,Action,Activision,220000.0,10000.0,,,240000,2600,RAMPAGE,69.18,False,True
84,REACTOR,2600,1981,Action,Parker Bros.,210000.0,10000.0,,,220000,2600,REACTOR,14.96,False,False
85,REALSPORTS BASEBALL,2600,1981,Sports,Atari,200000.0,10000.0,,,210000,2600,REALSPORTS BASEBALL,8.76,False,False
86,REALSPORTS BOXING,2600,1986,Sports,Atari,280000.0,20000.0,,,290000,2600,REALSPORTS BOXING,12.06,False,False
87,REALSPORTS FOOTBALL,2600,1981,Sports,Atari,240000.0,10000.0,,,260000,2600,REALSPORTS FOOTBALL,10.08,False,False
88,REALSPORTS TENNIS,2600,1982,Sports,Atari,460000.0,30000.0,,10000.0,500000,2600,REALSPORTS TENNIS,11.38,False,False
89,REALSPORTS VOLLEYBALL,2600,1981,Sports,Atari,120000.0,10000.0,,,130000,2600,REALSPORTS VOLLEYBALL,11.07,False,False
90,RIVER RAID,2600,1981,Shooter,Activision,1490000.0,90000.0,,20000.0,1600000,2600,RIVER RAID,22.59,False,False
91,RIVER RAID II,2600,1988,Shooter,Activision,470000.0,30000.0,,10000.0,510000,2600,RIVER RAID II,50.52,False,True
92,SMURF RESCUE IN GARGAMELS CASTLE,2600,1981,Action,Coleco,550000.0,30000.0,,10000.0,590000,2600,SMURF RESCUE IN GARGAMELS CASTLE,37.85,False,True
93,SOLARIS,2600,1986,Shooter,Atari,350000.0,20000.0,,,370000,2600,SOLARIS,16.98,False,False
94,SPIDERMAN,2600,1981,Action,Parker Bros.,870000.0,50000.0,,10000.0,930000,2600,SPIDERMAN,45.87,False,True
95,SUPER BASEBALL,2600,1987,Sports,Atari,70000.0,,,,70000,2600,SUPER BASEBALL,15.0,False,False
96,SUPER FOOTBALL,2600,1987,Sports,Atari,70000.0,,,,80000,2600,SUPER FOOTBALL,11.37,False,False
97,THE ACTIVISION DECATHLON,2600,1982,Sports,Activision,520000.0,30000.0,,10000.0,550000,2600,THE ACTIVISION DECATHLON,23.94,False,False
98,XMAN,2600,1982,Action,Universal Gamex,580000.0,40000.0,,10000.0,630000,2600,XMAN,807.66,True,True
99,BEYOND OASIS,GEN,1993,Role-Playing,Sega,,,50000.0,,50000,GEN,BEYOND OASIS,86.18,True,True
100,CASTLEVANIA BLOODLINES,GEN,1994,Platform,Konami Digital Entertainment,,,40000.0,,40000,GEN,CASTLEVANIA BLOODLINES,215.94,True,True
101,DYNAMITE HEADDY,GEN,1993,Platform,Sega,,,50000.0,,50000,GEN,DYNAMITE HEADDY,43.1,False,True
102,ECCO THE DOLPHIN,GEN,1992,Adventure,Sega,,,120000.0,,120000,GEN,ECCO THE DOLPHIN,17.04,False,False
103,ECCO THE TIDES OF TIME,GEN,1993,Adventure,Sega,,,70000.0,,70000,GEN,ECCO THE TIDES OF TIME,15.93,False,False
104,GUNSTAR HEROES,GEN,1992,Shooter,Sega,,,130000.0,,130000,GEN,GUNSTAR HEROES,137.16,True,True
105,MORTAL KOMBAT,GEN,1992,Fighting,Arena Entertainment,1950000.0,630000.0,,90000.0,2670000,GEN,MORTAL KOMBAT,22.64,False,False
106,MORTAL KOMBAT 3,GEN,1994,Fighting,Acclaim Entertainment,1030000.0,270000.0,,40000.0,1340000,GEN,MORTAL KOMBAT 3,21.05,False,False
107,NBA JAM,GEN,1992,Sports,Arena Entertainment,1750000.0,250000.0,,50000.0,2049999,GEN,NBA JAM,16.82,False,False
108,NBA JAM TOURNAMENT EDITION,GEN,1994,Sports,Acclaim Entertainment,950000.0,140000.0,,30000.0,1110000,GEN,NBA JAM TOURNAMENT EDITION,21.29,False,False
109,SHINING FORCE II,GEN,1993,Strategy,Sega,,,190000.0,,190000,GEN,SHINING FORCE II,97.02,True,True
110,SONIC  KNUCKLES,GEN,1994,Platform,Sega,1240000.0,430000.0,30000.0,120000.0,1820000,GEN,SONIC  KNUCKLES,55.57,False,True
111,SONIC THE HEDGEHOG,GEN,1991,Platform,Sega,3030000.0,910000.0,260000.0,130000.0,4340000,GEN,SONIC THE HEDGEHOG,32.97,False,True
112,SONIC THE HEDGEHOG 2,GEN,1992,Platform,Sega,4470000.0,1200000.0,160000.0,190000.0,6030000,GEN,SONIC THE HEDGEHOG 2,17.57,False,False
113,SONIC THE HEDGEHOG 3,GEN,1994,Platform,Sega,1020000.0,470000.0,200000.0,70000.0,1760000,GEN,SONIC THE HEDGEHOG 3,40.32,False,True
114,STREET FIGHTER II SPECIAL CHAMPION EDITION,GEN,1992,Fighting,Sega,1000000.0,300000.0,310000.0,40000.0,1660000,GEN,STREET FIGHTER II SPECIAL CHAMPION EDITION,22.52,False,False
115,STREETS OF RAGE,GEN,1990,Action,Sega,1860000.0,550000.0,110000.0,80000.0,2600000,GEN,STREETS OF RAGE,60.29,False,True
116,STREETS OF RAGE 3,GEN,1993,Action,Sega,,,70000.0,,70000,GEN,STREETS OF RAGE 3,258.28,True,True
117,VIRTUA RACING,GEN,1994,Racing,Sega,,,260000.0,,260000,GEN,VIRTUA RACING,32.63,False,True
118,007 THE WORLD IS NOT ENOUGH,N64,2000,Action,Electronic Arts,1130000.0,380000.0,20000.0,30000.0,1550000,N64,007 THE WORLD IS NOT ENOUGH,36.51,False,True
119,A BUGS LIFE,N64,1998,Platform,Activision,490000.0,130000.0,,10000.0,630000,N64,A BUGS LIFE,25.95,False,False
120,AIDYN CHRONICLES THE FIRST MAGE,N64,2001,Role-Playing,THQ,80000.0,20000.0,,,100000,N64,AIDYN CHRONICLES THE FIRST MAGE,55.8,False,True
121,ALLSTAR BASEBALL 2000,N64,1999,Sports,Acclaim Entertainment,360000.0,30000.0,,,390000,N64,ALLSTAR BASEBALL 2000,18.31,False,False
122,ALLSTAR BASEBALL 2001,N64,2000,Sports,Acclaim Entertainment,220000.0,10000.0,,,230000,N64,ALLSTAR BASEBALL 2001,27.49,False,False
123,ALLSTAR BASEBALL 99,N64,1998,Sports,Acclaim Entertainment,440000.0,40000.0,,,480000,N64,ALLSTAR BASEBALL 99,12.31,False,False
124,ARMORINES PROJECT SWARM,N64,1999,Shooter,Acclaim Entertainment,210000.0,50000.0,,,260000,N64,ARMORINES PROJECT SWARM,33.43,False,True
125,ARMY MEN AIR COMBAT,N64,2000,Action,3DO,190000.0,50000.0,,,240000,N64,ARMY MEN AIR COMBAT,33.74,False,True
126,ARMY MEN SARGES HEROES,N64,1999,Action,3DO,680000.0,120000.0,,10000.0,810000,N64,ARMY MEN SARGES HEROES,29.09,False,False
127,ARMY MEN SARGES HEROES 2,N64,2000,Shooter,3DO,340000.0,70000.0,,,420000,N64,ARMY MEN SARGES HEROES 2,42.32,False,True
128,ASTEROIDS HYPER 64,N64,1999,Shooter,Crave Entertainment,130000.0,30000.0,,,160000,N64,ASTEROIDS HYPER 64,64.82,False,True
129,AUTOMOBILI LAMBORGHINI,N64,1997,Racing,Titus,280000.0,170000.0,,10000.0,470000,N64,AUTOMOBILI LAMBORGHINI,31.01,False,True
130,BANJOKAZOOIE,N64,1998,Platform,Nintendo,1870000.0,1130000.0,550000.0,100000.0,3650000,N64,BANJOKAZOOIE,121.24,True,True
131,BANJOTOOIE,N64,2000,Platform,Nintendo,820000.0,360000.0,250000.0,60000.0,1490000,N64,BANJOTOOIE,118.7,True,True
132,BASS HUNTER 64,N64,1999,Sports,Take-Two Interactive,250000.0,60000.0,,,310000,N64,BASS HUNTER 64,18.59,False,False
133,BATMAN BEYOND RETURN OF THE JOKER,N64,2000,Action,Ubisoft,70000.0,20000.0,,,90000,N64,BATMAN BEYOND RETURN OF THE JOKER,69.26,False,True
134,BATTLETANX,N64,1998,Action,3DO,260000.0,60000.0,,,330000,N64,BATTLETANX,43.94,False,True
135,BATTLETANX GLOBAL ASSAULT,N64,1999,Action,3DO,310000.0,70000.0,,,390000,N64,BATTLETANX GLOBAL ASSAULT,43.43,False,True
136,BATTLEZONE RISE OF THE BLACK DOGS,N64,2000,Strategy,Crave Entertainment,60000.0,10000.0,,,70000,N64,BATTLEZONE RISE OF THE BLACK DOGS,142.09,True,True
137,BEETLE ADVENTURE RACING,N64,1999,Racing,Electronic Arts,400000.0,200000.0,,20000.0,620000,N64,BEETLE ADVENTURE RACING,54.31,False,True
138,BIG MOUNTAIN 2000,N64,1998,Sports,Imagineer,20000.0,10000.0,,,30000,N64,BIG MOUNTAIN 2000,106.59,True,True
139,BIO FREAKS,N64,1998,Action,GT Interactive,110000.0,30000.0,,,140000,N64,BIO FREAKS,22.95,False,False
140,BLAST CORPS,N64,1997,Action,Nintendo,390000.0,90000.0,170000.0,60000.0,710000,N64,BLAST CORPS,67.8,False,True
141,BLUES BROTHERS 2000,N64,2000,Platform,Virgin Interactive,40000.0,10000.0,,,50000,N64,BLUES BROTHERS 2000,96.75,True,True
142,BODY HARVEST,N64,1998,Shooter,Gremlin Interactive Ltd,160000.0,40000.0,,,200000,N64,BODY HARVEST,66.69,False,True
143,BOMBERMAN 64,N64,1997,Puzzle,Hudson Soft,500000.0,200000.0,310000.0,30000.0,1040000,N64,BOMBERMAN 64,80.93,True,True
144,BOMBERMAN 64 THE SECOND ATTACK,N64,1999,Adventure,Hudson Soft,50000.0,10000.0,110000.0,,170000,N64,BOMBERMAN 64 THE SECOND ATTACK,608.61,True,True
145,BOMBERMAN HERO,N64,1998,Platform,Nintendo,270000.0,60000.0,80000.0,50000.0,470000,N64,BOMBERMAN HERO,78.43,False,True
146,BRUNSWICK CIRCUIT PRO BOWLING,N64,1999,Sports,THQ,50000.0,10000.0,,,60000,N64,BRUNSWICK CIRCUIT PRO BOWLING,68.29,False,True
147,BUCK BUMBLE,N64,1998,Action,Ubisoft,130000.0,30000.0,,,160000,N64,BUCK BUMBLE,100.31,True,True
148,BUSTAMOVE 99,N64,1998,Puzzle,Acclaim Entertainment,50000.0,10000.0,,,60000,N64,BUSTAMOVE 99,77.86,False,True
149,BUSTAMOVE 2 ARCADE EDITION,N64,1997,Puzzle,Acclaim Entertainment,60000.0,20000.0,,,80000,N64,BUSTAMOVE 2 ARCADE EDITION,41.1,False,True
150,CALIFORNIA SPEED,N64,1999,Misc,Midway Games,130000.0,30000.0,,,160000,N64,CALIFORNIA SPEED,33.68,False,True
151,CARMAGEDDON 64,N64,1999,Action,Virgin Interactive,10000.0,,,,10000,N64,CARMAGEDDON 64,160.27,True,True
152,CASTLEVANIA,N64,1999,Platform,Konami Digital Entertainment,440000.0,100000.0,40000.0,50000.0,640000,N64,CASTLEVANIA,71.1,False,True
153,CASTLEVANIA LEGACY OF DARKNESS,N64,1999,Platform,Konami Digital Entertainment,60000.0,20000.0,50000.0,,130000,N64,CASTLEVANIA LEGACY OF DARKNESS,221.45,True,True
154,CHAMELEON TWIST,N64,1997,Platform,Sunsoft,90000.0,20000.0,,,110000,N64,CHAMELEON TWIST,124.45,True,True
155,CHAMELEON TWIST 2,N64,1998,Platform,Infogrames,40000.0,10000.0,,,50000,N64,CHAMELEON TWIST 2,263.39,True,True
156,CHARLIE BLASTS TERRITORY,N64,1999,Action,Kemco,20000.0,10000.0,,,30000,N64,CHARLIE BLASTS TERRITORY,113.65,True,True
157,CHOPPER ATTACK,N64,1997,Action,GT Interactive,90000.0,20000.0,,,110000,N64,CHOPPER ATTACK,29.89,False,False
158,COMMAND  CONQUER,N64,1999,Strategy,Nintendo,220000.0,50000.0,,,270000,N64,COMMAND  CONQUER,24.51,False,False
159,CONKERS BAD FUR DAY,N64,2001,Platform,THQ,530000.0,220000.0,,20000.0,770000,N64,CONKERS BAD FUR DAY,218.1,True,True
160,CRUISN EXOTICA,N64,2000,Racing,Midway Games,170000.0,40000.0,,,210000,N64,CRUISN EXOTICA,102.17,True,True
161,CRUISN USA,N64,1996,Racing,Nintendo,1690000.0,40000.0,,10000.0,1740000,N64,CRUISN USA,55.96,False,True
162,CRUISN WORLD,N64,1998,Racing,Nintendo,590000.0,40000.0,,10000.0,640000,N64,CRUISN WORLD,45.98,False,True
163,CYBERTIGER,N64,2000,Sports,Electronic Arts,50000.0,10000.0,,,60000,N64,CYBERTIGER,48.99,False,True
164,DARK RIFT,N64,1997,Fighting,Vic Tokai,120000.0,30000.0,,,150000,N64,DARK RIFT,28.2,False,False
165,DEADLY ARTS,N64,1998,Fighting,Konami Digital Entertainment,30000.0,10000.0,,,40000,N64,DEADLY ARTS,89.91,True,True
166,DESTRUCTION DERBY 64,N64,1999,Racing,THQ,130000.0,30000.0,,,160000,N64,DESTRUCTION DERBY 64,63.61,False,True
167,DIDDY KONG RACING,N64,1997,Racing,Nintendo,2910000.0,990000.0,890000.0,100000.0,4880000,N64,DIDDY KONG RACING,57.06,False,True
168,DISNEYS TARZAN,N64,2000,Platform,Activision,160000.0,40000.0,,,200000,N64,DISNEYS TARZAN,61.07,False,True
169,DONKEY KONG 64,N64,1999,Platform,Nintendo,3330000.0,790000.0,1090000.0,60000.0,5270000,N64,DONKEY KONG 64,96.93,True,True
170,DOOM 64,N64,1997,Shooter,Midway Games,380000.0,80000.0,,10000.0,470000,N64,DOOM 64,99.54,True,True
171,DR MARIO 64,N64,2001,Puzzle,Nintendo,340000.0,70000.0,,,420000,N64,DR MARIO 64,73.57,False,True
172,DUAL HEROES,N64,1997,Fighting,Hudson Soft,40000.0,10000.0,,,50000,N64,DUAL HEROES,112.91,True,True
173,DUKE NUKEM 64,N64,1997,Shooter,GT Interactive,350000.0,80000.0,,10000.0,440000,N64,DUKE NUKEM 64,69.22,False,True
174,DUKE NUKEM ZERO HOUR,N64,1999,Shooter,GT Interactive,210000.0,50000.0,,,260000,N64,DUKE NUKEM ZERO HOUR,43.88,False,True
175,ECW HARDCORE REVOLUTION,N64,2000,Fighting,Acclaim Entertainment,180000.0,40000.0,,,220000,N64,ECW HARDCORE REVOLUTION,34.28,False,True
176,EARTHWORM JIM 3D,N64,1999,Platform,Interplay,100000.0,20000.0,,,120000,N64,EARTHWORM JIM 3D,213.34,True,True
177,EXCITEBIKE 64,N64,2000,Racing,Nintendo,650000.0,150000.0,190000.0,10000.0,1000000,N64,EXCITEBIKE 64,44.89,False,True
178,F1 WORLD GRAND PRIX,N64,1998,Racing,Video System,460000.0,960000.0,90000.0,80000.0,1600000,N64,F1 WORLD GRAND PRIX,23.95,False,False
179,FZERO X,N64,1998,Racing,Nintendo,450000.0,330000.0,290000.0,30000.0,1100000,N64,FZERO X,95.87,True,True
180,F1 POLE POSITION 64,N64,1997,Racing,Ubisoft,110000.0,130000.0,,10000.0,250000,N64,F1 POLE POSITION 64,24.37,False,False
181,FIFA SOCCER 64,N64,1997,Sports,Electronic Arts,160000.0,300000.0,,30000.0,490000,N64,FIFA SOCCER 64,32.83,False,True
182,FIGHTER DESTINY 2,N64,1999,Fighting,Imagineer,40000.0,10000.0,,,50000,N64,FIGHTER DESTINY 2,126.62,True,True
183,FIGHTERS DESTINY,N64,1998,Fighting,Ocean,130000.0,30000.0,,,160000,N64,FIGHTERS DESTINY,22.91,False,False
184,FIGHTING FORCE 64,N64,1999,Action,Crave Entertainment,90000.0,20000.0,,,110000,N64,FIGHTING FORCE 64,69.47,False,True
185,FLYING DRAGON,N64,1997,Fighting,Natsume,80000.0,20000.0,,,100000,N64,FLYING DRAGON,174.39,True,True
186,FOX SPORTS COLLEGE HOOPS 99,N64,1998,Sports,Fox Interactive,200000.0,50000.0,,,250000,N64,FOX SPORTS COLLEGE HOOPS 99,17.24,False,False
187,GAUNTLET LEGENDS,N64,1999,Action,Midway Games,430000.0,100000.0,,10000.0,540000,N64,GAUNTLET LEGENDS,76.24,False,True
188,GEX 3 DEEP COVER GECKO,N64,1999,Platform,Crave Entertainment,170000.0,40000.0,,,210000,N64,GEX 3 DEEP COVER GECKO,49.74,False,True
189,GEX 64 ENTER THE GECKO,N64,1998,Action,GT Interactive,200000.0,50000.0,,,250000,N64,GEX 64 ENTER THE GECKO,33.56,False,True
190,GLOVER,N64,1998,Platform,Hasbro Interactive,720000.0,170000.0,,10000.0,910000,N64,GLOVER,60.98,False,True
191,GOEMONS GREAT ADVENTURE,N64,1998,Platform,Konami Digital Entertainment,60000.0,20000.0,130000.0,100000.0,310000,N64,GOEMONS GREAT ADVENTURE,351.2,True,True
192,GOLDEN NUGGET 64,N64,1998,Misc,Electronic Arts,70000.0,20000.0,,,90000,N64,GOLDEN NUGGET 64,22.8,False,False
193,GOLDENEYE 007,N64,1997,Shooter,Nintendo,5800000.0,2009999.0,130000.0,150000.0,8090000,N64,GOLDENEYE 007,81.95,True,True
194,HARVEST MOON 64,N64,1999,Simulation,Pack In Soft,250000.0,60000.0,110000.0,60000.0,480000,N64,HARVEST MOON 64,159.61,True,True
195,HERCULES THE LEGENDARY JOURNEYS,N64,2000,Role-Playing,Titus,40000.0,10000.0,,,50000,N64,HERCULES THE LEGENDARY JOURNEYS,80.23,True,True
196,HEXEN,N64,1996,Shooter,GT Interactive,150000.0,40000.0,,,190000,N64,HEXEN,49.34,False,True
